# Trace for tools/trace_driver.cpp
anchors=56 boundaries=104 vector_iters=0 scalar_iters=0 processed_bytes=0
fragment start=2477 end=2502 grammar=C pattern=c_function confidence=0.65
fragment start=2503 end=2519 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2520 end=2530 grammar=C pattern=c_function confidence=0.65
fragment start=2531 end=2546 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2547 end=2574 grammar=C pattern=c_function confidence=0.65
fragment start=2575 end=2598 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2599 end=2615 grammar=C pattern=c_function confidence=0.65
fragment start=2616 end=2629 grammar=C pattern=c_function confidence=0.65
fragment start=2630 end=2677 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2678 end=2762 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2763 end=2774 grammar=C pattern=c_function confidence=0.65
fragment start=2775 end=2793 grammar=C pattern=c_function confidence=0.65
