# Trace for tools/trace_driver.cpp
anchors=81 boundaries=163 vector_iters=0 scalar_iters=0 processed_bytes=0
fragment start=2477 end=2502 grammar=C pattern=c_function confidence=0.65
fragment start=2503 end=2506 grammar=C pattern=c_function confidence=0.65
fragment start=2507 end=2520 grammar=C pattern=c_function confidence=0.65
fragment start=2521 end=2544 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2545 end=2577 grammar=C pattern=c_function confidence=0.65
fragment start=2578 end=2594 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2595 end=2600 grammar=C pattern=c_function confidence=0.65
fragment start=2601 end=2621 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2622 end=2649 grammar=C pattern=c_function confidence=0.65
fragment start=2650 end=2654 grammar=C pattern=c_function confidence=0.65
fragment start=2655 end=2673 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2674 end=2690 grammar=C pattern=c_function confidence=0.65
fragment start=2691 end=2703 grammar=C pattern=c_function confidence=0.65
fragment start=2704 end=2752 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2753 end=2837 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2838 end=2897 grammar=C pattern=c_function confidence=0.65
fragment start=2899 end=2945 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=2946 end=2965 grammar=C pattern=c_function confidence=0.65
fragment start=2966 end=2993 grammar=C pattern=c_function confidence=0.65
fragment start=2994 end=3002 grammar=C pattern=c_function confidence=0.65
fragment start=3003 end=3053 grammar=C pattern=c_function confidence=0.65
fragment start=3054 end=3062 grammar=C pattern=c_function confidence=0.65
fragment start=3063 end=3085 grammar=C pattern=c_function confidence=0.65
fragment start=3086 end=3109 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3110 end=3127 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3128 end=3143 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3144 end=3181 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3182 end=3206 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3208 end=3247 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3248 end=3271 grammar=C pattern=c_function confidence=0.65
fragment start=3272 end=3281 grammar=C pattern=c_function confidence=0.65
fragment start=3282 end=3309 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3310 end=3345 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3346 end=3365 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3366 end=3379 grammar=C pattern=c_function confidence=0.65
fragment start=3380 end=3392 grammar=C pattern=c_function confidence=0.65
fragment start=3393 end=3408 grammar=C pattern=c_function confidence=0.65
fragment start=3409 end=3448 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3449 end=3481 grammar=C pattern=c_function confidence=0.65
fragment start=3482 end=3498 grammar=C pattern=c_function confidence=0.65
fragment start=3499 end=3520 grammar=C pattern=c_function confidence=0.65
fragment start=3522 end=3558 grammar=C pattern=c_function confidence=0.65
fragment start=3559 end=3585 grammar=C pattern=c_function confidence=0.65
fragment start=3586 end=3598 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3599 end=3622 grammar=C pattern=c_function confidence=0.65
fragment start=3623 end=3649 grammar=C pattern=c_function confidence=0.65
fragment start=3650 end=3654 grammar=C pattern=c_function confidence=0.65
fragment start=3655 end=3684 grammar=C pattern=c_function confidence=0.65
fragment start=3685 end=3707 grammar=C pattern=c_function confidence=0.65
fragment start=3708 end=3721 grammar=C pattern=c_function confidence=0.65
fragment start=3722 end=3744 grammar=C pattern=c_function confidence=0.65
fragment start=3745 end=3763 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3764 end=3782 grammar=C pattern=c_function confidence=0.65
fragment start=3783 end=3808 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3809 end=3825 grammar=C pattern=c_function confidence=0.65
fragment start=3826 end=3844 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3845 end=3867 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3868 end=3893 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3894 end=3910 grammar=C pattern=c_function confidence=0.65
fragment start=3911 end=3934 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3935 end=3962 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3963 end=3971 grammar=C pattern=c_function confidence=0.65
fragment start=3972 end=3988 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=3989 end=4005 grammar=C pattern=c_function confidence=0.65
fragment start=4006 end=4022 grammar=C pattern=c_function confidence=0.65
fragment start=4023 end=4053 grammar=CPP pattern=cpp_function confidence=0.85
fragment start=4054 end=4088 grammar=C pattern=c_function confidence=0.65
