test_file,transpile,compile,run,num_errors
pure2-function-single-expression-body-default-return.cpp2,FAILED,,,0
pure2-function-typeids.cpp2,FAILED,,,0
pure2-hashable.cpp2,FAILED,,,0
pure2-hello.cpp2,FAILED,,,0
pure2-initialization-loop-2-error.cpp2,FAILED,,,0
pure2-initialization-loop-error.cpp2,FAILED,,,0
pure2-initialization-safety-with-else-if.cpp2,FAILED,,,0
pure2-inspect-expression-in-generic-function-multiple-types.cpp2,FAILED,,,0
pure2-inspect-expression-with-as-in-generic-function.cpp2,FAILED,,,0
pure2-inspect-fallback-with-variant-any-optional.cpp2,FAILED,,,0
pure2-inspect-generic-void-empty-with-variant-any-optional.cpp2,FAILED,,,0
pure2-interpolation.cpp2,FAILED,,,0
pure2-intro-example-hello-2022.cpp2,FAILED,,,0
pure2-intro-example-three-loops.cpp2,FAILED,,,0
pure2-is-with-free-functions-predicate.cpp2,FAILED,,,0
pure2-is-with-polymorphic-types.cpp2,FAILED,,,0
pure2-is-with-unnamed-predicates.cpp2,FAILED,,,0
pure2-is-with-variable-and-value.cpp2,FAILED,,,0
pure2-last-use.cpp2,FAILED,,,0
pure2-lifetime-safety-pointer-init-1-error.cpp2,FAILED,,,0
pure2-lifetime-safety-reject-null-error.cpp2,FAILED,,,0
pure2-look-up-parameter-across-unnamed-function.cpp2,FAILED,,,0
pure2-main-args.cpp2,FAILED,,,0
pure2-more-wildcards.cpp2,FAILED,,,0
pure2-print.cpp2,FAILED,,,0
pure2-range-operators.cpp2,FAILED,,,0
pure2-raw-string-literal-and-interpolation.cpp2,FAILED,,,0
pure2-regex_01_char_matcher.cpp2,FAILED,,,0
pure2-regex_02_ranges.cpp2,FAILED,,,0
pure2-regex_03_wildcard.cpp2,FAILED,,,0
pure2-regex_04_start_end.cpp2,FAILED,,,0
pure2-regex_05_classes.cpp2,FAILED,,,0
pure2-regex_06_boundaries.cpp2,FAILED,,,0
pure2-regex_07_short_classes.cpp2,FAILED,,,0
pure2-regex_08_alternatives.cpp2,FAILED,,,0
pure2-regex_09_groups.cpp2,FAILED,,,0
pure2-regex_10_escapes.cpp2,FAILED,,,0
pure2-regex_11_group_references.cpp2,FAILED,,,0
pure2-regex_12_case_insensitive.cpp2,FAILED,,,0
pure2-regex_13_possessive_modifier.cpp2,FAILED,,,0
pure2-regex_14_multiline_modifier.cpp2,FAILED,,,0
pure2-regex_15_group_modifiers.cpp2,FAILED,,,0
pure2-regex_16_perl_syntax_modifier.cpp2,FAILED,,,0
pure2-regex_17_comments.cpp2,FAILED,,,0
pure2-regex_18_branch_reset.cpp2,FAILED,,,0
pure2-regex_19_lookahead.cpp2,FAILED,,,0
pure2-regex_21_atomic_patterns.cpp2,FAILED,,,0
pure2-regex-general.cpp2,FAILED,,,0
pure2-repeated-call.cpp2,FAILED,,,0
pure2-requires-clauses.cpp2,FAILED,,,0
pure2-return-tuple-no-identifier-error.cpp2,FAILED,,,0
pure2-return-tuple-no-type-error.cpp2,FAILED,,,0
pure2-return-tuple-operator.cpp2,FAILED,,,0
pure2-statement-parse-error.cpp2,FAILED,,,0
pure2-statement-scope-parameters.cpp2,FAILED,,,0
pure2-stdio-with-raii.cpp2,FAILED,,,0
pure2-stdio.cpp2,FAILED,,,0
pure2-synthesize-rightshift-and-rightshifteq.cpp2,FAILED,,,0
pure2-template-parameter-lists.cpp2,FAILED,,,0
pure2-trailing-comma-assert.cpp2,FAILED,,,0
pure2-trailing-commas.cpp2,FAILED,,,0
pure2-type-and-namespace-aliases.cpp2,FAILED,,,0
pure2-type-constraints.cpp2,FAILED,,,0
pure2-type-safety-1.cpp2,FAILED,,,0
pure2-type-safety-2-with-inspect-expression.cpp2,FAILED,,,0
pure2-types-basics.cpp2,FAILED,,,0
pure2-types-down-upcast.cpp2,FAILED,,,0
pure2-types-inheritance.cpp2,FAILED,,,0
pure2-types-order-independence-and-nesting.cpp2,FAILED,,,0
pure2-types-ordering-via-meta-functions.cpp2,FAILED,,,0
pure2-types-smf-and-that-1-provide-everything.cpp2,FAILED,,,0
pure2-types-smf-and-that-2-provide-mvconstruct-and-cpassign.cpp2,FAILED,,,0
pure2-types-smf-and-that-3-provide-mvconstruct-and-mvassign.cpp2,FAILED,,,0
pure2-types-smf-and-that-4-provide-cpassign-and-mvassign.cpp2,FAILED,,,0
pure2-types-smf-and-that-5-provide-nothing-but-general-case.cpp2,FAILED,,,0
pure2-types-that-parameters.cpp2,FAILED,,,0
pure2-types-value-types-via-meta-functions.cpp2,FAILED,,,0
pure2-ufcs-member-access-and-chaining.cpp2,FAILED,,,0
pure2-union.cpp2,FAILED,,,0
pure2-unsafe.cpp2,FAILED,,,0
pure2-variadics.cpp2,FAILED,,,0
pure2-various-string-literals.cpp2,FAILED,,,0
